MerchantKey,MerchantName,Category
1,Kim LLC Co,travel
2,Calhoun-Wyatt Ltd,personal_care
3,"Moon, Kaufman and Buchanan Ltd",personal_care
4,Nguyen Inc Co,travel
5,"Silva, Hill and Bradley Inc",health_fitness
6,"Warren, Benson and Reid Co",home
7,"Lowe, Ramirez and Harper LLC",misc_pos
8,Mendoza-Lewis Ltd,kids_pets
9,Jarvis Ltd LLC,home
10,James Group LLC,gas_transport
11,Harris Ltd Co,shopping_net
12,Vasquez PLC Co,food_dining
13,Bowman Group Inc,shopping_pos
14,Hoover-Stephens LLC,kids_pets
15,"Maddox, Perez and Watkins LLC",personal_care
16,Gutierrez-Dudley LLC,food_dining
17,Wood Group Ltd,misc_pos
18,"Mendez, Williams and Henry Ltd",misc_net
19,Saunders-Hernandez Co,misc_net
20,Perez-Wallace Inc,shopping_pos
21,Hunter-Sanchez Co,travel
22,"Jenkins, Smith and Anderson Co",personal_care
23,Pham Inc Ltd,food_dining
24,Abbott-Brown LLC,shopping_pos
25,"Cannon, Vasquez and Caldwell LLC",travel
26,"Ward, Perez and Baker Co",personal_care
27,Nguyen LLC LLC,misc_pos
28,Herrera Ltd Co,home
29,Fuller Ltd Inc,personal_care
30,Stephens-Miller Inc,food_dining
31,"Rodriguez, Smith and Johnson Ltd",personal_care
32,"Moore, George and Roberts LLC",kids_pets
33,Olsen Group Co,misc_pos
34,Thomas-Bryant LLC,misc_pos
35,Parrish PLC Inc,shopping_pos
36,Dixon Inc Inc,misc_pos
37,Woods-Arellano Co,health_fitness
38,"Leon, Hale and Winters Ltd",shopping_pos
39,Johnson Inc LLC,food_dining
40,"Adams, Moreno and Turner Inc",kids_pets
41,Harrell Group Ltd,personal_care
42,Solis-Nichols Inc,gas_transport
43,Medina-Thomas Inc,entertainment
44,"Sandoval, Long and Ray Co",personal_care
45,Summers Group LLC,entertainment
46,Morris PLC Inc,entertainment
47,"Meyer, Wilson and Sharp Inc",entertainment
48,"Carlson, Norton and Estrada Ltd",shopping_pos
49,Maddox Ltd Inc,misc_pos
50,"Keith, Hicks and Calderon LLC",shopping_pos
51,Gregory-Johnson LLC,misc_net
52,Bell-Scott Inc,food_dining
53,Rodriguez Ltd Ltd,misc_net
54,"Scott, Gonzalez and Hurst Co",food_dining
55,Perez-Brown Inc,kids_pets
56,Frye-Washington Ltd,entertainment
57,"Garner, Maldonado and Johnson Co",home
58,Phillips Inc Co,misc_net
59,Griffin PLC Ltd,personal_care
60,Mooney PLC Inc,personal_care
61,Russell-Carpenter Inc,misc_net
62,"Zamora, Bridges and Robinson Ltd",kids_pets
63,Stewart Ltd Inc,grocery
